Abbreviation	Metabolite Name
12PPD	1,2-Propanediol 
13PDG	1,3-bis-Phosphoglycerate
23DHB	2,3-Dihydroxybenzoate
23DHBA	2,3-Dihydroxybenzoyl-adenylate
23DHDHB	2,3-Dihydo-2,3-dihydroxybenzoate
2A3O	2-Amino-3-oxobutanoate
2KD6PG	2-keto-3-deoxy-6-phospho-gluconate
2O6H	2-Octaprenol 6-hydroxyphenol
2OMHMB	2-Octaprenyl-3-methyl-5-hydroxy-6-methoxy-1,4-benzoquinone
2OPMB	2-Octaprenyl-6-methoxy-1,4-benzoquinone
2OPMMB	2-Octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone
2OPMP	2-Octaprenyl-6-methoxyphenol
2OPPP	2-Octaprenylphenol
2PG	2-Phosphoglycerate
3DDAH7P	3-Deoxy-d-arabino heptulosonate-7-phosphate
3PG	3-Phosphoglycerate
3PSER	3-Phosphoserine
3PSME	3-Phosphate-shikimate
4HBZ	4-Hydroxybenzoate
4HLT	4-Hydroxy-l-tyrosine
4PPNCYS	4'-Phosphopantothenoylcysteine
4PPNTE	4'-Phosphopantetheine
4PPNTO	4'-Phosphopantothenate
5MTA	5-Methylthioadenosine
5MTR	5-Methylthio-D-ribose
5MTR1P	5-Methylthio-5-deoxy-D-ribulose 1-phosphate
5MTRP	S5-Methyl-5-thio-D-ribose 1-phosphate
A5P	D-Arabinose 5-phosphate
A6RP	5-Amino-6-ribitylamino-2,4(1H,3H)-pyrimidinedione
A6RP5P	5-Amino-6-(ribosylamino)-2,4-(1H,3H)-pyrimidinedione 5'-phosphate
A6RP5P2	5-Amino-2,6-dioxy-4-(5'-phosphoribitylamino)pyrimidine
AA	D-Alanyl-D-alanine
AACCOA	Acetoacetyl-CoA
ABUT	2-Aceto-2-hydroxy butyrate
AC	Acetate
ACxt	External Acetate
ACACP	Acetyl-ACP
ACAL	Acetaldehyde
ACALxt	External Acetaldehyde
ACCOA	Acetyl-CoA
ACLAC	Acetolactate 
ACP	acyl-carrier protein
ACTP	Acetyl-phosphate
AD	Adenine
ADxt	External Adenine
ADCHOR	4-Amino-4-deoxychorismate
ADN	Adenosine
ADNxt	External Adenosine
ADP	Adenosine diphosphate
ADPGLC	From RBC
ADPHEP	ADP-Mannoheptose
AGM	Agmatine
AHHMD	2-Amino-4-hydroxy-6-hydroxymethyl dihydropteridine-pp
AHHMP	2-Amino-4-hydroxy-6-hydroxymethyl dihydropteridine
AHM	4-Amino-5-hydroxymethyl-2-methylpyrimidine
AHMP	4-Amino-5-hydroxymethyl-2-methylpyrimidine-phosphate
AHMPP	4-Amino-5-hydroxymethyl-2-methylpyrimidine-pyrophosphate
AHTD	2-Amino-4-hydroxy-6-(erythro-1-2-3-trihydroxypropyl) dihydropteridine-p
AICAR	5-Phosphate-ribosyl-5-amino-4-imidazole carboxamide
AIR	5-Phosphoribosyl-5-aminoimidazole
AKG	a-Ketoglutarate
AKGxt	External a-Ketoglutarate
AKP	a-Ketopantoate
ALA	Alanine
ALAxt	External Alanine
ALAV	D-Aminolevulinate
AMP	Adenosine monophosphate
AMPxt	External Adenosine monphosphate
AN	Antranilate
AONA	8-Amino-7-oxononanoate
APS	Adenylyl sulfate
ARAB	Arabinose
ARABxt	External Arabinose
ARG	Arginine
ARGxt	External Arginine
ARGSUCC	L-Arginio succinate
ASER	O-Acetylserine
ASN	Asparagine
ASNxt	External Asparagine
ASP	Aspartate
ASPxt	External Aspartate
ASPSA	Aspartic beta-semialdehyde
ASUC	Adenilsuccinate
ATP	Adenosine triphosphate
bALA	b-Alanine
BASP	b-Aspartyl phosphate
BCAA	Branched chain amino acid
BCAAxt	External Branched chain amino acid
bDG6P	b-D-Glucose 6-Phosphate
bDGLC	b-D-Glucose
Biomass	Biomass
BM	Biomass
BMxt	External Biomass
BT	Biotin
C120ACP	Dodecanoyl-[acyl-carrier protein]
C140	Myristic acid
C140xt	External Myristic acid
C140ACP	Myristoyl-[acyl-carrier protein]
C141ACP	Tetradecenoyl-[acyl-carrier protein]
C160	Palmitic acid
C160xt	External Palmitic acid
C160ACP	Hexadecanoyl-[acyl-carrier protein]
C161ACP	Hexadecenoyl-[acyl-carrier protein]
C180	Stearic acid
C180xt	External Stearic acid
C181ACP	Oleoyl-[acyl-carrier protein]
CAASP	Carbamoyl aspartate
CADV	Cadaverine
CAIR	5-Phosphoribosyl-5-aminoimidazole-4-carboxylate
CAP	Carbamoyl phosphate
CBHCAP	3-Carboxy-3-hydroxy-isocaproate
CDP	Cytidine diphosphate
CDPDG	CDP-1,2-Diacylglycerol
CDPETN	CDP-Ethanolamine
CHCOA	6-Carboxyhexanoyl-coa
CHOR	Chorisimate
CIT	Citrate
CITR	L-Citrulline
CL	Cardiolypin
CMP	Cytidine monophosphate
CMPKDO	CMP-2-keto-3-deoxyoctanoate
CO2	Carbon dioxide
CO2xt	External Carbon dioxide
COA	Coenzyme A
CPAD5P	1-O-Carboxyphenylamino 1-deoxyribulose-5-phosphate
CPP	Coproporphyrinogen III
CTP	Cytidine triphosphate
CYS	Cysteine
CYSxt	External Cysteine
CYTD	Cytidine
CYTDxt	External Cytidine
CYTS	Cytosine
CYTSxt	External Cytosine
D23PIC	2,3-Dihydro dipicolinate
D26PIM	L,l-2,6-Diamino pimelate
D6PGC	D-6-Phosphate-gluconate
D6PGL	D-6-Phosphate-glucono-delta-lactone
D6RP5P	2,5-Diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate
D8RL	6,7-Dimethyl-8-(1-D-ribityl)lumazine
DA	Deoxyadenosine
DAxt	External Deoxyadenosine
DADP	Deoxyadenosine diphosphate
DALA	D-Alanine
DALAxt	External D-Alanine
DAMP	Deoxyadenosine monophosphate
DANNA	7,8-Diaminononanoate
DATP	Deoxyadenosine triphosphate
DB4P	3,4-Dihydroxy-2-butanone-4-phosphate
DC	Deoxycytidine
DCxt	External Deocycytidine
DCDP	Deoxycytidine diphosphate
DCMP	Deoxycytidine monophosphate
DCTP	Deoxycytidine triphosphate
DG	Deoxyguanosine
DGxt	External Deoxyguanosine
DGDP	Deoxyguanosine diphosphate
DGLU	D-Glutamate
DGMP	2-Deoxy-guanosine-5-phosphate
DGR	D-1,2-Diacylglycerol
DGTP	Deoxyguanosine triphosphate
DHAxt	External Dihydroxyacetone
DHF	Dihydrofolate
DHMVA	2,3-Dihydroxy-3-methyl-valerate
DHNA	1,4-Dihydroxy-2-naphthoic acid
DHP	Dihydroneopterin
DHPP	Dihydroneopterin phosphate
DHPT	7,8-Dihydropteroate
DHSK	Dehydroshikimate
DHVAL	Dihydroxy-isovalerate
DIMGP	D-Erythro imidazoleglycerol-phosphate
DIN	Deoxyinosine
DINxt	External Deoxyinosine
DIPEP	Dipeptide
DIPEPxt	External Dipeptide
DISAC1P	2,3-bis(3-hydroxytetradecanoyl)-D-glucosaminyl-1,6-beta-D-2,3-bis(3-hydroxytetradecanoyl)-beta-D-glucosaminyl 1-phosphate or dissacharide 1-P
DKMPP	DKMPP
DMK	Demethylmenaquinone 
DMPP	Dimethylallyl pyrophosphate
DOROA	Dihydroorotic acid
DPCOA	Dephosphocoenzyme A
DQT	3-Dehydroquinate
DR1P	Deoxyribose 1-Phosphate
DR5P	Deoxyribose 5-Phosphate
DSAM	Decarboxylated adenosylmethionine
DSER	D-Serine
DSERxt	External D-Serine
DT	Thymidine
DTxt	External Thymidine
DTB	Dethiobiotin
DTDP	Thymidine diphosphate
DTMP	Thymidine monophosphate
DTP	1-Deoxy-d-threo-2-pentulose
DTTP	Thymidine triphosphate
DU	Deoxyuridine
DUxt	External Deoxyuridine
DUDP	Deoxyuridine diphosphate
DUMP	Deoxyuridine monophosphate
DUTP	Deoxyuridine triphosphate
DX5P	1-D-Deoxyxylulose-5-phosphate
E4P	Erythrose 4-phosphate
ENTER	Enterochelin
ER4P	Erythronate-4-phosphate
ETH	Ethanol
ETHxt	External Ethanol
F1P	Fructose 1-Phosphate
F6P	Fructose 6-phosphate
FAD	Flavin adenine dinucleotide
FADH	Flavin adenine dinucleotide reduced
FCL	Fuculose
FCL1P	Fuculose 1-Phosphate
FDP	Fructose 1,6-diphosphate
FGAM	5-Phosphoribosyl-n-formylgycineamidine
FGAR	5-Phosphoribosyl-n-formylglycineamide
FMN	flavin mononucleotide
FOR	Formate
FORxt	External Formate
FPP	trans, trans Farnesyl pyrophosphate 
FRU	Fructose
FRUxt	External Fructose
FTHF	10-Formyltetrahydrofolate
FUC	Fucose
FUCxt	External Fucose
FUM	Fumarate
FUMxt	External Fumarate
G1P	Glucose 1-phosphate
G6P	Glucose 6-phosphate
GA1P	Glucosamine 1-phosphate
GA6P	D-Glucosamine
GABA	4-Aminobutanoate
GABAxt	External 4-Aminobutanoate
GABAL	g-aminobutyraldehyde
GAL1P	Galactose 1-Phosphate
GAR	5-Phosphate-ribosyl glycineamide
GC	L-g-Glutamylcysteine
GDP	Guanosine diphosphate
GL	Glycerol
GLxt	External Glycerol
GL3P	Glycerol 3-phosphate
GL3Pxt	External Glycerol 3-phosphate
GLAC	Galactose
GLACxt	External Galactose
GLAL	D-Glyceraldehyde
GLALxt	External D-Glyceraldehyde
GLC	a-D-Glucose
GLCxt	External a-D-Glucose
GLCN	Gluconate
GLCNxt	External Gluconate
GLN	Glutamine
GLNxt	External Glutamine
GLT6P	Glucitol 6-Phosphate
GLTxt	External Glucitol
GLTL1P	Galacitol-1-Phosphate 
GLTLxt	External Galacitol
GLU	Glutamate
GLUxt	External Glutamate
GLUGSAL	L-Glutamate g-semialdehyde
GLUP	Glutamyl phosphate
GLX	Glyoxylate
GLY	Glycine
GLYxt	External Glycine
GLYCOGEN	Glycogen
GMP	Guanosine monophosphate
GN	Guanine
GNxt	External Guanine
GPP	trans Geranyl pyrophosphate
GSA	Glutamate-1-semialdehyde
GSN	Guanosine
GSNxt	External Guanosine
GTP	Guanosine triphosphate
GTRNA	L-Glutamyl-tRNA(glu)
H2	Hydrogen
H2O2	Hydrogen peroxide
H2S	Hydrogen sulfide
H2SO3	Sulfite
HBA	4-Hydroxy-benzyl-alcohol
HCYS	Homocysteine
HEMEO	Heme O
HEXT	External H+
HIS	Histidine
HISxt	External Histidine
HISOL	Histidinol
HISOLP	L-Histidinol-phosphate
HMB	Hydroxymethylbilane
HPHPYR	para-Hydroxy phenyl pyruvate
HSER	Homoserine
HYXN	Hypoxanthine
HYXNxt	External Hypoxanthine
ICHOR	Isochorismate
ICIT	Isocitrate
IDP	Inosine diphosphate
IGP	Indole glycerol phosphate
ILE	Isoleucine
ILExt	External Isoleucine
IMACP	Imidazole acetyl-phosphate
IMP	Inosine monophosphate
INDOLE	Indole
INS	Inosine
INSxt	External Inosine
IPPMAL	3-Isopropylmalate
IPPP	Isopentyl pyrophosphate
ISUCC	a-Iminosuccinate
ITP	Inosine triphosphate
K	Potassium
Kxt	External Potassium
K2LIPIV	(KDO(2))-lipid IV(A)
KDO	2-Dehydro-3-deoxy-D-octonate
KDOLIPIV	(KDO)-lipid IV(A)
KDOP	2-Dehydro-3-deoxy-D-octonate 8-phosphate
KMB	a- keto-g-methiobutyrate
LAC	D-Lactate
LACxt	External D-Lactate
LACAL	Lactaldehyde
LCTS	Lactose
LCTSxt	External Lactose
LEU	Leucine
LEUxt	External Leucine
LIPA	(KDO(2))-lipid A (Endotoxin)
LIPIV	Lipid IV(A)
LIPX	Lipid X
LLAC	L-Lactate
LLCT	L-Cystathionine
LPS	Lippolysaccharide
LRL5P	L-Ribulose-5-Phosphate
LYS	L-Lysine
LYSxt	External L-Lysine
MAL	Malate
MALxt	External Malate
MALACP	Malonyl-ACP
MALCOA	Malonyl-CoA
MAN1P	Mannose 1-Phosphate
MAN6P	Mannose 6-Phosphate
MANxt	External Mannose
MDAP	Meso-diaminopimelate
MDAPxt	External Meso-diaminopimelate
MELI	Melibiose
MELIxt	External Melibiose
MET	Methionine
METxt	External Methionine
METHF	5,10-Methenyl tetrahydrofolate
METTHF	5,10-Methylene tetrahydrofolate
MK	Menaquinone
MLT6P	Maltose 6-phosphate
MLTxt	External Maltose
MNT6P	Mannitol 6-Phosphate
MNTxt	External Mannitol
MTHF	5-Methyl tetrahydrofolate
NA	Sodium
NAxt	External Sodium Ion
NAAD	Nicotinic acid adenine dinucleotide
NAARON	N-a-Acetyl ornithine
NAC	Nicotinate
NACxt	External Nicotinate
NAD	Nicotinamide adenine dinucleotide
NADxt	External Nicotinamide adenine dinucleotide
NADH	Nicotinamide adenine dinucleotide reduced
NADP	Nicotinamide adenine dinucleotide phosphate
NADPH	Dihydronicotinamide adenine dinucleotide phosphate reduced
NAG	N-Acetylglucosamine
NAGLU	N-Acetyl glutamate
NAGLUSAL	N-Acetyl glutamate semialdehyde 
NAGLUYP	N-Acetyl glutamyl -phosphate
NAGP	N-Acetylglucosamine 6-phosphate
NAM	Nicotinamide
NAMAN	N-Acetyl-D-mannosamine 
NAMN	Nicotinic acid mononucleotide
NCAIR	5'-Phosphoribosyl-5-carboxyaminoimidazole
NH3	Ammonia
NH3xt	External Ammonia
NMN	Nicotinamide mononucleotide
NMNxt	External Nicotinamide mononucleotide
NPRAN	N-5-phosphoribosyl-antranilate
NS26DP	N-Succinyl-l,l-2,6-diaminopimelate
NS2A6O	N-Succinyl-2-amino-6-ketopimelate
O2	Oxygen
O2xt	External Oxygen
O4HBZ	3-Octaprenyl-4-hydroxybenzoate
OA	Oxaloacetate
OBUT	Oxobutyrate or 2-ketobutyrate
OGT	Oxidized glutathione
OHB	3-Hydroxy-4-phospho-hydroxy-alpha-ketobutyrate
OICAP	2-Oxoisocaproate
OIVAL	Oxoisovalerate
OMP	Orotidylate
OMVAL	Oxomethylvalerate
OPEP	Oligopeptide
OPEPxt	External Oligopeptide
OPP	trans Octaprenyl pyrophosphate
ORN	Ornithine
ORNxt	External Ornithine
OROA	Orotic acid
OSB	O-Succinylbenzoic acid
OSBCOA	O-Succinylbenzoyl-CoA
OSLHSER	O-Succinyl-l-homoserine
OTHIO	Thioredoxin (oxidized form)
P5P	Pyridoxine-5'-phosphate
PA	Phosphatidyl acid
PABA	para-Aminobenzoic acid
PANT	Pantoate
PAP	Adenosine-3',5'-diphosphate
PAPS	3-Phosphoadenylyl sulfate
PBG	Probilinogen III
PC2	Percorrin 2
PDLA	Pyridoxamine
PDLA5P	Pyridoxamine-5-phosphate
PE	Phosphatidyl ethanolamine
PEP	Phosphoenolpyruvate
PEPT	Peptide
PEPTxt	External Peptide
PEPTIDO	Peptidoglycan
PG	Phosphatidyl glycerol
PGP	L-1-Phoshatidyl-glycerol-phosphate
PHE	Phenylalanine
PHExt	External Phenylalanine
PHEN	Prephenate
PHP	3-Phosphohydroxypyruvate
PHPYR	Phenyl pyruvate
PHSER	O-Phospho-l-homoserine
PHT	Phospho-hydroxy-threonine
PI	Phosphate (inorganic)
PIxt	External Phosphate (inorganic)
PIP26DX	Delta-piperidine-2,6-dicarboxylate
PL	Pyridoxal
PL5P	Pyridoxal 5'-phosphate
PNTO	Pantothenate
PNTOxt	Extrenal Pantothenate
PPHG	Protoporphyrinogen
PPI	Pyrophosphate
PPIX	Protoporphyrin IX
PRAM	5-Phosphate-b-D-ribosyl amine
PRBAMP	Phosphoribosyl -AMP
PRBATP	Phosphoribosyl-ATP
PRFICA	5-Phosphate-ribosyl-formamido-4-imidazole carboxamide
PRFP	Phosphoribosyl-formimino-AICAR-phosphate
PRLP	Phosphoribulosyl- formimino-AICAR-phosphate
PRO	Proline
PROxt	External Proline
PRPP	Phosphoribosyl pyrophosphate
PS	Phosphatidyl serine
PTH	Protoheme
PTRC	Putrescine
PTRCxt	External Putrescine
PYR	Pyruvate
PYRxt	External Pyruvate
PYRDX	Pyridoxine
Q	Ubiquinone
QA	Quinolinate
QH2	Ubiquinol
R1P	Ribose 1-phosphate
R5P	Ribose 5-phosphate
RBL	Ribulose
RGT	Reduced glutathione
RIB	Ribose
RIBxt	External Ribose
RIBFLV	Riboflavin
RL5P	D-Ribulose 5-phosphate
RML	Rhamnulose
RML1P	Rhamnulose 1-phosphate
RMN	Rhamnose 
RMNxt	External Rhamnose
RTHIO	Thioredoxin (reduced form)
S7P	sedo-Heptulose 7-phosphate
SAH	S-Adenosyl homocystine
